Image #, x, y 
0,-8594.565000000002,4141.625000000001 
1,-5931.180000000001,91.80200000000002 
2,-8284.982000000002,-4112.344500000001 
3,-9371.374000000002,-4114.201500000001 
4,-5826.990000000002,4383.7350000000015 
5,-5833.290000000002,4383.7350000000015 
6,-14056.990000000003,-4116.265000000001 
7,-14063.290000000003,-4116.265000000001 
8,-14226.990000000003,4383.7350000000015 
9,-14233.290000000003,4383.7350000000015 
10,-7855.152000000002,-4356.049000000001 
11,-6163.972000000002,-4105.235000000001 
